id,title,description,category,subcategory,subsubcategory
2467,Most Profitable Path in a Tree,"There is an undirected tree with n nodes labeled from 0 to n - 1, rooted at node 0. You are given a 2D integer array edges of length n - 1 where edges[i] = [ai, bi] indicates that there is an edge between nodes ai and bi in the tree.At every node i, there is a gate. You are also given an array of even integers amount, where amount[i] represents:	the price needed to open the gate at node i, if amount[i] is negative, or,	the cash reward obtained on opening the gate at node i, otherwise.The game goes on as follows:	Initially, Alice is at node 0 and Bob is at node bob.	At every second, Alice and Bob each move to an adjacent node. Alice moves towards some leaf node, while Bob moves towards node 0.	For every node along their path, Alice and Bob either spend money to open the gate at that node, or accept the reward. Note that:			If the gate is already open, no price will be required, nor will there be any cash reward.		If Alice and Bob reach the node simultaneously, they share the price/reward for opening the gate there. In other words, if the price to open the gate is c, then both Alice and Bob pay c / 2 each. Similarly, if the reward at the gate is c, both of them receive c / 2 each.			If Alice reaches a leaf node, she stops moving. Similarly, if Bob reaches node 0, he stops moving. Note that these events are independent of each other.Return the maximum net income Alice can have if she travels towards the optimal leaf node. ",Trees,Tree Algorithms,Tree DP
2468,Split Message Based on Limit,"You are given a string, message, and a positive integer, limit.You must split message into one or more parts based on limit. Each resulting part should have the suffix &quot;&quot;, where &quot;b&quot; is to be replaced with the total number of parts and &quot;a&quot; is to be replaced with the index of the part, starting from 1 and going up to b. Additionally, the length of each resulting part (including its suffix) should be equal to limit, except for the last part whose length can be at most limit.The resulting parts should be formed such that when their suffixes are removed and they are all concatenated in order, they should be equal to message. Also, the result should contain as few parts as possible.Return the parts message would be split into as an array of strings. If it is impossible to split message as required, return an empty array. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2469,Convert the Temperature,"You are given a non-negative floating point number rounded to two decimal places celsius, that denotes the temperature in Celsius.You should convert Celsius into Kelvin and Fahrenheit and return it as an array ans = [kelvin, fahrenheit].Return the array ans. Answers within 10-5 of the actual answer will be accepted.Note that:	Kelvin = Celsius + 273.15	Fahrenheit = Celsius * 1.80 + 32.00 ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2470,Number of Subarrays With LCM Equal to K,"Given an integer array nums and an integer k, return the number of subarrays of nums where the least common multiple of the subarray&#39;s elements is k.A subarray is a contiguous non-empty sequence of elements within an array.The least common multiple of an array is the smallest positive integer that is divisible by all the array elements. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2471,Minimum Number of Operations to Sort a Binary Tree by Level,"You are given the root of a binary tree with unique values.In one operation, you can choose any two nodes at the same level and swap their values.Return the minimum number of operations needed to make the values at each level sorted in a strictly increasing order.The level of a node is the number of edges along the path between it and the root node. ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
2472,Maximum Number of Non-overlapping Palindrome Substrings,You are given a string s and a positive integer k.Select a set of non-overlapping substrings from the string s that satisfy the following conditions:	The length of each substring is at least k.	Each substring is a palindrome.Return the maximum number of substrings in an optimal selection.A substring is a contiguous sequence of characters within a string. ,Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
2473,Minimum Cost to Buy Apples,,Dynamic Programming (DP),Knapsack Problems,Unbounded Knapsack
2474,Customers With Strictly Increasing Purchases,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2475,Number of Unequal Triplets in Array,"You are given a 0-indexed array of positive integers nums. Find the number of triplets (i, j, k) that meet the following conditions:	0 	nums[i], nums[j], and nums[k] are pairwise distinct.			In other words, nums[i] != nums[j], nums[i] != nums[k], and nums[j] != nums[k].		Return the number of triplets that meet the conditions. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2476,Closest Nodes Queries in a Binary Search Tree,"You are given the root of a binary search tree and an array queries of size n consisting of positive integers.Find a 2D array answer of size n where answer[i] = [mini, maxi]:	mini is the largest value in the tree that is smaller than or equal to queries[i]. If a such value does not exist, add -1 instead.	maxi is the smallest value in the tree that is greater than or equal to queries[i]. If a such value does not exist, add -1 instead.Return the array answer. ",Trees,Binary Trees,Binary Search Tree operations
2477,Minimum Fuel Cost to Report to the Capital,"There is a tree (i.e., a connected, undirected graph with no cycles) structure country network consisting of n cities numbered from 0 to n - 1 and exactly n - 1 roads. The capital city is city 0. You are given a 2D integer array roads where roads[i] = [ai, bi] denotes that there exists a bidirectional road connecting cities ai and bi.There is a meeting for the representatives of each city. The meeting is in the capital city.There is a car in each city. You are given an integer seats that indicates the number of seats in each car.A representative can use the car in their city to travel or change the car and ride with another representative. The cost of traveling between two cities is one liter of fuel.Return the minimum number of liters of fuel to reach the capital city. ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
2478,Number of Beautiful Partitions,"You are given a string s that consists of the digits &#39;1&#39; to &#39;9&#39; and two integers k and minLength.A partition of s is called beautiful if:	s is partitioned into k non-intersecting substrings.	Each substring has a length of at least minLength.	Each substring starts with a prime digit and ends with a non-prime digit. Prime digits are &#39;2&#39;, &#39;3&#39;, &#39;5&#39;, and &#39;7&#39;, and the rest of the digits are non-prime.Return the number of beautiful partitions of s. Since the answer may be very large, return it modulo 109 + 7.A substring is a contiguous sequence of characters within a string. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
2479,Maximum XOR of Two Non-Overlapping Subtrees,,Trees,Tree Algorithms,Tree DP
2480,Form a Chemical Bond,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2481,Minimum Cuts to Divide a Circle,"A valid cut in a circle can be:	A cut that is represented by a straight line that touches two points on the edge of the circle and passes through its center, or	A cut that is represented by a straight line that touches one point on the edge of the circle and its center.Some valid and invalid cuts are shown in the figures below.Given the integer n, return the minimum number of cuts needed to divide a circle into n equal slices. ",Greedy Algorithms,Optimization Problems,Minimum coins
2482,Difference Between Ones and Zeros in Row and Column,You are given a 0-indexed m x n binary matrix grid.A 0-indexed m x n difference matrix diff is created with the following procedure:	Let the number of ones in the ith row be onesRowi.	Let the number of ones in the jth column be onesColj.	Let the number of zeros in the ith row be zerosRowi.	Let the number of zeros in the jth column be zerosColj.	diff[i][j] = onesRowi + onesColj - zerosRowi - zerosColjReturn the difference matrix diff. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2484,Count Palindromic Subsequences,"Given a string of digits s, return the number of palindromic subsequences of s having length 5. Since the answer may be very large, return it modulo 109 + 7.Note:	A string is palindromic if it reads the same forward and backward.	A subsequence is a string that can be derived from another string by deleting some or no characters without changing the order of the remaining characters. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
2485,Find the Pivot Integer,"Given a positive integer n, find the pivot integer x such that:	The sum of all elements between 1 and x inclusively equals the sum of all elements between x and n inclusively.Return the pivot integer x. If no such integer exists, return -1. It is guaranteed that there will be at most one pivot index for the given input. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2486,Append Characters to String to Make Subsequence,You are given two strings s and t consisting of only lowercase English letters.Return the minimum number of characters that need to be appended to the end of s so that t becomes a subsequence of s.A subsequence is a string that can be derived from another string by deleting some or no characters without changing the order of the remaining characters. ,Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
2487,Remove Nodes From Linked List,You are given the head of a linked list.Remove every node which has a node with a greater value anywhere to the right side of it.Return the head of the modified linked list. ,Linked Lists,Basic Operations,Insertion & Deletion
2488,Count Subarrays With Median K,"You are given an array nums of size n consisting of distinct integers from 1 to n and a positive integer k.Return the number of non-empty subarrays in nums that have a median equal to k.Note:	The median of an array is the middle element after sorting the array in ascending order. If the array is of even length, the median is the left middle element.			For example, the median of [2,3,1,4] is 2, and the median of [8,4,3,5,1] is 4.			A subarray is a contiguous part of an array. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2489,Number of Substrings With Fixed Ratio,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2490,Circular Sentence,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces.	For example, &quot;Hello World&quot;, &quot;HELLO&quot;, &quot;hello world hello world&quot; are all sentences.Words consist of only uppercase and lowercase English letters. Uppercase and lowercase English letters are considered different.A sentence is circular if:	The last character of each word in the sentence is equal to the first character of its next word.	The last character of the last word is equal to the first character of the first word.For example, &quot;leetcode exercises sound delightful&quot;, &quot;eetcode&quot;, &quot;leetcode eats soul&quot; are all circular sentences. However, &quot;Leetcode is cool&quot;, &quot;happy Leetcode&quot;, &quot;Leetcode&quot; and &quot;I like Leetcode&quot; are not circular sentences.Given a string sentence, return true if it is circular. Otherwise, return false. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2492,Minimum Score of a Path Between Two Cities,"You are given a positive integer n representing n cities numbered from 1 to n. You are also given a 2D array roads where roads[i] = [ai, bi, distancei] indicates that there is a bidirectional road between cities ai and bi with a distance equal to distancei. The cities graph is not necessarily connected.The score of a path between two cities is defined as the minimum distance of a road in this path.Return the minimum possible score of a path between cities 1 and n.Note:	A path is a sequence of roads between two cities.	It is allowed for a path to contain the same road multiple times, and you can visit cities 1 and n multiple times along the path.	The test cases are generated such that there is at least one path between 1 and n. ",Graphs,Basic Graph Traversal,Breadth-First Search (BFS)
2493,Divide Nodes Into the Maximum Number of Groups,"You are given a positive integer n representing the number of nodes in an undirected graph. The nodes are labeled from 1 to n.You are also given a 2D integer array edges, where edges[i] = [ai, bi] indicates that there is a bidirectional edge between nodes ai and bi. Notice that the given graph may be disconnected.Divide the nodes of the graph into m groups (1-indexed) such that:	Each node in the graph belongs to exactly one group.	For every pair of nodes in the graph that are connected by an edge [ai, bi], if ai belongs to the group with index x, and bi belongs to the group with index y, then |y - x| = 1.Return the maximum number of groups (i.e., maximum m) into which you can divide the nodes. Return -1 if it is impossible to group the nodes with the given conditions. ",Graphs,Basic Graph Traversal,Connected Components
2497,Maximum Star Sum of a Graph,"There is an undirected graph consisting of n nodes numbered from 0 to n - 1. You are given a 0-indexed integer array vals of length n where vals[i] denotes the value of the ith node.You are also given a 2D integer array edges where edges[i] = [ai, bi] denotes that there exists an undirected edge connecting nodes ai and bi.A star graph is a subgraph of the given graph having a center node containing 0 or more neighbors. In other words, it is a subset of edges of the given graph such that there exists a common node for all edges.The image below shows star graphs with 3 and 4 neighbors respectively, centered at the blue node.The star sum is the sum of the values of all the nodes present in the star graph.Given an integer k, return the maximum star sum of a star graph containing at most k edges. ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
2498,Frog Jump II,"You are given a 0-indexed integer array stones sorted in strictly increasing order representing the positions of stones in a river.A frog, initially on the first stone, wants to travel to the last stone and then return to the first stone. However, it can jump to any stone at most once.The length of a jump is the absolute difference between the position of the stone the frog is currently on and the position of the stone to which the frog jumps.	More formally, if the frog is at stones[i] and is jumping to stones[j], the length of the jump is |stones[i] - stones[j]|.The cost of a path is the maximum length of a jump among all jumps in the path.Return the minimum cost of a path for the frog. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2499,Minimum Total Cost to Make Arrays Unequal,"You are given two 0-indexed integer arrays nums1 and nums2, of equal length n.In one operation, you can swap the values of any two indices of nums1. The cost of this operation is the sum of the indices.Find the minimum total cost of performing the given operation any number of times such that nums1[i] != nums2[i] for all 0 <= i <= n - 1 after performing all the operations.Return the minimum total cost such that nums1 and nums2 satisfy the above condition. In case it is not possible, return -1. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
2501,Longest Square Streak in an Array,"You are given an integer array nums. A subsequence of nums is called a square streak if:	The length of the subsequence is at least 2, and	after sorting the subsequence, each element (except the first element) is the square of the previous number.Return the length of the longest square streak in nums, or return -1 if there is no square streak.A subsequence is an array that can be derived from another array by deleting some or no elements without changing the order of the remaining elements. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2502,Design Memory Allocator,"You are given an integer n representing the size of a 0-indexed memory array. All memory units are initially free.You have a memory allocator with the following functionalities:	Allocate a block of size consecutive free memory units and assign it the id mID.	Free all memory units with the given id mID.Note that:	Multiple blocks can be allocated to the same mID.	You should free all the memory units with mID, even if they were allocated in different blocks.Implement the Allocator class:	Allocator(int n) Initializes an Allocator object with a memory array of size n.	int allocate(int size, int mID) Find the leftmost block of size consecutive free memory units and allocate it with the id mID. Return the block&#39;s first index. If such a block does not exist, return -1.	int freeMemory(int mID) Free all memory units with the id mID. Return the number of memory units you have freed. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2503,Maximum Number of Points From Grid Queries,"You are given an m x n integer matrix grid and an array queries of size k.Find an array answer of size k such that for each integer queries[i] you start in the top left cell of the matrix and repeat the following process:	If queries[i] is strictly greater than the value of the current cell that you are in, then you get one point if it is your first time visiting this cell, and you can move to any adjacent cell in all 4 directions: up, down, left, and right.	Otherwise, you do not get any points, and you end this process.After the process, answer[i] is the maximum number of points you can get. Note that for each query you are allowed to visit the same cell multiple times.Return the resulting array answer. ",Graphs,Basic Graph Traversal,Breadth-First Search (BFS)
2505,Bitwise OR of All Subsequence Sums,,Bit Manipulation,Bitwise Techniques,Subsets & Power Sets
2506,Count Pairs Of Similar Strings,"You are given a 0-indexed string array words.Two strings are similar if they consist of the same characters.	For example, &quot;abca&quot; and &quot;cba&quot; are similar since both consist of characters &#39;a&#39;, &#39;b&#39;, and &#39;c&#39;.	However, &quot;abacba&quot; and &quot;bcfd&quot; are not similar since they do not consist of the same characters.Return the number of pairs (i, j) such that 0 <= i < j <= word.length - 1 and the two strings words[i] and words[j] are similar. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2507,Smallest Value After Replacing With Sum of Prime Factors,"You are given a positive integer n.Continuously replace n with the sum of its prime factors.	Note that if a prime factor divides n multiple times, it should be included in the sum as many times as it divides n.Return the smallest value n will take on. ",Greedy Algorithms,Optimization Problems,Minimum coins
2508,Add Edges to Make Degrees of All Nodes Even,"There is an undirected graph consisting of n nodes numbered from 1 to n. You are given the integer n and a 2D array edges where edges[i] = [ai, bi] indicates that there is an edge between nodes ai and bi. The graph can be disconnected.You can add at most two additional edges (possibly none) to this graph so that there are no repeated edges and no self-loops.Return true if it is possible to make the degree of each node in the graph even, otherwise return false.The degree of a node is the number of edges connected to it. ",Graphs,Basic Graph Traversal,Connected Components
2509,Cycle Length Queries in a Tree,"You are given an integer n. There is a complete binary tree with 2n - 1 nodes. The root of that tree is the node with the value 1, and every node with a value val in the range [1, 2n - 1 - 1] has two children where:	The left node has the value 2 * val, and	The right node has the value 2 * val + 1.You are also given a 2D integer array queries of length m, where queries[i] = [ai, bi]. For each query, solve the following problem:	Add an edge between the nodes with values ai and bi.	Find the length of the cycle in the graph.	Remove the added edge between nodes with values ai and bi.Note that:	A cycle is a path that starts and ends at the same node, and each edge in the path is visited only once.	The length of a cycle is the number of edges visited in the cycle.	There could be multiple edges between two nodes in the tree after adding the edge of the query.Return an array answer of length m where answer[i] is the answer to the ith query. ",Trees,Tree Algorithms,Lowest Common Ancestor (LCA)
2510,Check if There is a Path With Equal Number of 0's And 1's,,Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
2511,Maximum Enemy Forts That Can Be Captured,"You are given a 0-indexed integer array forts of length n representing the positions of several forts. forts[i] can be -1, 0, or 1 where:	-1 represents there is no fort at the ith position.	0 indicates there is an enemy fort at the ith position.	1 indicates the fort at the ith the position is under your command.Now you have decided to move your army from one of your forts at position i to an empty position j such that:	0 	The army travels over enemy forts only. Formally, for all k where min(i,j) While moving the army, all the enemy forts that come in the way are captured.Return the maximum number of enemy forts that can be captured. In case it is impossible to move your army, or you do not have any fort under your command, return 0. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2513,Minimize the Maximum of Two Arrays,"We have two arrays arr1 and arr2 which are initially empty. You need to add positive integers to them such that they satisfy all the following conditions:	arr1 contains uniqueCnt1 distinct positive integers, each of which is not divisible by divisor1.	arr2 contains uniqueCnt2 distinct positive integers, each of which is not divisible by divisor2.	No integer is present in both arr1 and arr2.Given divisor1, divisor2, uniqueCnt1, and uniqueCnt2, return the minimum possible maximum integer that can be present in either array. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2514,Count Anagrams,"You are given a string s containing one or more words. Every consecutive pair of words is separated by a single space &#39; &#39;.A string t is an anagram of string s if the ith word of t is a permutation of the ith word of s.	For example, &quot;acb dfe&quot; is an anagram of &quot;abc def&quot;, but &quot;def cab&quot; and &quot;adc bef&quot; are not.Return the number of distinct anagrams of s. Since the answer may be very large, return it modulo 109 + 7. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2515,Shortest Distance to Target String in a Circular Array,"You are given a 0-indexed circular string array words and a string target. A circular array means that the array&#39;s end connects to the array&#39;s beginning.	Formally, the next element of words[i] is words[(i + 1) % n] and the previous element of words[i] is words[(i - 1 + n) % n], where n is the length of words.Starting from startIndex, you can move to either the next word or the previous word with 1 step at a time.Return the shortest distance needed to reach the string target. If the string target does not exist in words, return -1. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2518,Number of Great Partitions,"You are given an array nums consisting of positive integers and an integer k.Partition the array into two ordered groups such that each element is in exactly one group. A partition is called great if the sum of elements of each group is greater than or equal to k.Return the number of distinct great partitions. Since the answer may be too large, return it modulo 109 + 7.Two partitions are considered distinct if some element nums[i] is in different groups in the two partitions. ",Dynamic Programming (DP),Knapsack Problems,0/1 Knapsack
2519,Count the Number of K-Big Indices,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2520,Count the Digits That Divide a Number,"Given an integer num, return the number of digits in num that divide num.An integer val divides nums if nums % val == 0. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2522,Partition String Into Substrings With Values at Most K,"You are given a string s consisting of digits from 1 to 9 and an integer k.A partition of a string s is called good if:	Each digit of s is part of exactly one substring.	The value of each substring is less than or equal to k.Return the minimum number of substrings in a good partition of s. If no good partition of s exists, return -1.Note that:	The value of a string is its result when interpreted as an integer. For example, the value of &quot;123&quot; is 123 and the value of &quot;1&quot; is 1.	A substring is a contiguous sequence of characters within a string. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
2523,Closest Prime Numbers in Range,"Given two positive integers left and right, find the two integers num1 and num2 such that:	left 	Both num1 and num2 are prime numbers.	num2 - num1 is the minimum amongst all other pairs satisfying the above conditions.Return the positive integer array ans = [num1, num2]. If there are multiple pairs satisfying these conditions, return the one with the smallest num1 value. If no such numbers exist, return [-1, -1]. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2524,Maximum Frequency Score of a Subarray,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2525,Categorize Box According to Criteria,"Given four integers length, width, height, and mass, representing the dimensions and mass of a box, respectively, return a string representing the category of the box.	The box is &quot;Bulky&quot; if:			Any of the dimensions of the box is greater or equal to 104.		Or, the volume of the box is greater or equal to 109.			If the mass of the box is greater or equal to 100, it is &quot;Heavy&quot;.	If the box is both &quot;Bulky&quot; and &quot;Heavy&quot;, then its category is &quot;Both&quot;.	If the box is neither &quot;Bulky&quot; nor &quot;Heavy&quot;, then its category is &quot;Neither&quot;.	If the box is &quot;Bulky&quot; but not &quot;Heavy&quot;, then its category is &quot;Bulky&quot;.	If the box is &quot;Heavy&quot; but not &quot;Bulky&quot;, then its category is &quot;Heavy&quot;.Note that the volume of the box is the product of its length, width and height. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2527,Find Xor-Beauty of Array,"You are given a 0-indexed integer array nums.The effective value of three indices i, j, and k is defined as ((nums[i] | nums[j]) &amp; nums[k]).The xor-beauty of the array is the XORing of the effective values of all the possible triplets of indices (i, j, k) where 0 <= i, j, k < n.Return the xor-beauty of nums.Note that:	val1 | val2 is bitwise OR of val1 and val2.	val1 &amp; val2 is bitwise AND of val1 and val2. ",Bit Manipulation,Basic Bit Operations,"Bitwise AND, OR, XOR"
2528,Maximize the Minimum Powered City,"You are given a 0-indexed integer array stations of length n, where stations[i] represents the number of power stations in the ith city.Each power station can provide power to every city in a fixed range. In other words, if the range is denoted by r, then a power station at city i can provide power to all cities j such that |i - j| <= r and 0 <= i, j <= n - 1.	Note that |x| denotes absolute value. For example, |7 - 5| = 2 and |3 - 10| = 7.The power of a city is the total number of power stations it is being provided power from.The government has sanctioned building k more power stations, each of which can be built in any city, and have the same range as the pre-existing ones.Given the two integers r and k, return the maximum possible minimum power of a city, if the additional power stations are built optimally.Note that you can build the k power stations in multiple cities. ",Arrays & Strings,Advanced Array/String Techniques,Prefix/Suffix Sums
2529,Maximum Count of Positive Integer and Negative Integer,"Given an array nums sorted in non-decreasing order, return the maximum between the number of positive integers and the number of negative integers.	In other words, if the number of positive integers in nums is pos and the number of negative integers is neg, then return the maximum of pos and neg.Note that 0 is neither positive nor negative. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2530,Maximal Score After Applying K Operations,"You are given a 0-indexed integer array nums and an integer k. You have a starting score of 0.In one operation:	choose an index i such that 0 	increase your score by nums[i], and	replace nums[i] with ceil(nums[i] / 3).Return the maximum possible score you can attain after applying exactly k operations.The ceiling function ceil(val) is the least integer greater than or equal to val. ",Heaps (Priority Queues),Heap Applications,Kth Largest/Smallest Element
2531,Make Number of Distinct Characters Equal,You are given two 0-indexed strings word1 and word2.A move consists of choosing two indices i and j such that 0 <= i < word1.length and 0 <= j < word2.length and swapping word1[i] with word2[j].Return true if it is possible to get the number of distinct characters in word1 and word2 to be equal with exactly one move. Return false otherwise. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2532,Time to Cross a Bridge,"There are k workers who want to move n boxes from the right (old) warehouse to the left (new) warehouse. You are given the two integers n and k, and a 2D integer array time of size k x 4 where time[i] = [righti, picki, lefti, puti].The warehouses are separated by a river and connected by a bridge. Initially, all k workers are waiting on the left side of the bridge. To move the boxes, the ith worker can do the following:	Cross the bridge to the right side in righti minutes.	Pick a box from the right warehouse in picki minutes.	Cross the bridge to the left side in lefti minutes.	Put the box into the left warehouse in puti minutes.The ith worker is less efficient than the jth worker if either condition is met:	lefti + righti > leftj + rightj	lefti + righti == leftj + rightj and i > jThe following rules regulate the movement of the workers through the bridge:	Only one worker can use the bridge at a time.	When the bridge is unused prioritize the least efficient worker (who have picked up the box) on the right side to cross. If not, prioritize the least efficient worker on the left side to cross.	If enough workers have already been dispatched from the left side to pick up all the remaining boxes, no more workers will be sent from the left side.Return the elapsed minutes at which the last box reaches the left side of the bridge. ",Heaps (Priority Queues),Heap Applications,Merge K Sorted Lists
2533,Number of Good Binary Strings,,Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
2535,Difference Between Element Sum and Digit Sum of an Array,You are given a positive integer array nums.	The element sum is the sum of all the elements in nums.	The digit sum is the sum of all the digits (not necessarily distinct) that appear in nums.Return the absolute difference between the element sum and digit sum of nums.Note that the absolute difference between two integers x and y is defined as |x - y|. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2536,Increment Submatrices by One,"You are given a positive integer n, indicating that we initially have an n x n 0-indexed integer matrix mat filled with zeroes.You are also given a 2D integer array query. For each query[i] = [row1i, col1i, row2i, col2i], you should do the following operation:	Add 1 to every element in the submatrix with the top left corner (row1i, col1i) and the bottom right corner (row2i, col2i). That is, add 1 to mat[x][y] for all row1i i and col1i i.Return the matrix mat after performing every query. ",Arrays & Strings,Advanced Array/String Techniques,Matrix Traversal
2538,Difference Between Maximum and Minimum Price Sum,"There exists an undirected and initially unrooted tree with n nodes indexed from 0 to n - 1. You are given the integer n and a 2D integer array edges of length n - 1, where edges[i] = [ai, bi] indicates that there is an edge between nodes ai and bi in the tree.Each node has an associated price. You are given an integer array price, where price[i] is the price of the ith node.The price sum of a given path is the sum of the prices of all nodes lying on that path.The tree can be rooted at any node root of your choice. The incurred cost after choosing root is the difference between the maximum and minimum price sum amongst all paths starting at root.Return the maximum possible cost amongst all possible root choices. ",Trees,Tree Algorithms,Tree DP
2540,Minimum Common Value,"Given two integer arrays nums1 and nums2, sorted in non-decreasing order, return the minimum integer common to both arrays. If there is no common integer amongst nums1 and nums2, return -1.Note that an integer is said to be common to nums1 and nums2 if both arrays have at least one occurrence of that integer. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
2541,Minimum Operations to Make Array Equal II,"You are given two integer arrays nums1 and nums2 of equal length n and an integer k. You can perform the following operation on nums1:	Choose two indexes i and j and increment nums1[i] by k and decrement nums1[j] by k. In other words, nums1[i] = nums1[i] + k and nums1[j] = nums1[j] - k.nums1 is said to be equal to nums2 if for all indices i such that 0 <= i < n, nums1[i] == nums2[i].Return the minimum number of operations required to make nums1 equal to nums2. If it is impossible to make them equal, return -1. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2542,Maximum Subsequence Score,"You are given two 0-indexed integer arrays nums1 and nums2 of equal length n and a positive integer k. You must choose a subsequence of indices from nums1 of length k.For chosen indices i0, i1, ..., ik - 1, your score is defined as:	The sum of the selected elements from nums1 multiplied with the minimum of the selected elements from nums2.	It can defined simply as: (nums1[i0] + nums1[i1] +...+ nums1[ik - 1]) * min(nums2[i0] , nums2[i1], ... ,nums2[ik - 1]).Return the maximum possible score.A subsequence of indices of an array is a set that can be derived from the set {0, 1, ..., n-1} by deleting some or no elements. ",Heaps (Priority Queues),Heap Applications,Kth Largest/Smallest Element
2543,Check if Point Is Reachable,"There exists an infinitely large grid. You are currently at point (1, 1), and you need to reach the point (targetX, targetY) using a finite number of steps.In one step, you can move from point (x, y) to any one of the following points:	(x, y - x)	(x - y, y)	(2 * x, y)	(x, 2 * y)Given two integers targetX and targetY representing the X-coordinate and Y-coordinate of your final position, return true if you can reach the point from (1, 1) using some number of steps, and false otherwise. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
2544,Alternating Digit Sum,You are given a positive integer n. Each digit of n has a sign according to the following rules:	The most significant digit is assigned a positive sign.	Each other digit has an opposite sign to its adjacent digits.Return the sum of all digits with their corresponding sign. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2546,Apply Bitwise Operations to Make Strings Equal,"You are given two 0-indexed binary strings s and target of the same length n. You can do the following operation on s any number of times:	Choose two different indices i and j where 0 	Simultaneously, replace s[i] with (s[i] OR s[j]) and s[j] with (s[i] XOR s[j]).For example, if s = &quot;0110&quot;, you can choose i = 0 and j = 2, then simultaneously replace s[0] with (s[0] OR s[2] = 0 OR 1 = 1), and s[2] with (s[0] XOR s[2] = 0 XOR 1 = 1), so we will have s = &quot;1110&quot;.Return true if you can make the string s equal to target, or false otherwise. ",Bit Manipulation,Basic Bit Operations,"Bitwise AND, OR, XOR"
2547,Minimum Cost to Split an Array,"You are given an integer array nums and an integer k.Split the array into some number of non-empty subarrays. The cost of a split is the sum of the importance value of each subarray in the split.Let trimmed(subarray) be the version of the subarray where all numbers which appear only once are removed.	For example, trimmed([3,1,2,4,3,4]) = [3,4,3,4].The importance value of a subarray is k + trimmed(subarray).length.	For example, if a subarray is [1,2,3,3,3,4,4], then trimmed([1,2,3,3,3,4,4]) = [3,3,3,4,4].The importance value of this subarray will be k + 5.Return the minimum possible cost of a split of nums.A subarray is a contiguous non-empty sequence of elements within an array. ",Dynamic Programming (DP),1D DP,Maximum Subarray Problems
2548,Maximum Price to Fill a Bag,,Greedy Algorithms,Optimization Problems,Fractional Knapsack
2549,Count Distinct Numbers on Board,"You are given a positive integer n, that is initially placed on a board. Every day, for 109 days, you perform the following procedure:	For each number x present on the board, find all numbers 1 	Then, place those numbers on the board.Return the number of distinct integers present on the board after 109 days have elapsed.Note:	Once a number is placed on the board, it will remain on it until the end.	% stands for the modulo operation. For example, 14 % 3 is 2. ",Greedy Algorithms,Optimization Problems,Minimum coins
